"","State_Name","County","City","Zip_Code","AllSbjtNumReady","AllSbjtNumAssessed","Lat","Lon","Mean_Income","Median_Income","FinalMathAveScore","FinalAllSbjtAveScore","FinalEWBRWAveScore","MathPctReady","TotalPerReady","EBRWPctReady","Median","Income_Level","difference_from_avg_median"
"130","Michigan","Alcona County","Dearborn Heights",48125,49,192,42.284541,-83.2949007,28890,25997,474.872916666667,960.0921875,485.2640625,0.265625,0.255208333333333,0.526041666666667,25997,"Low",45511.6754563895
"131","Michigan","Alcona County","Richmond",48062,30,116,42.8081094,-82.7531189,58082,43552,485,982.2,497.2,0.267241379310345,0.258620689655172,0.637931034482759,43552,"Medium",27956.6754563895
"132","Michigan","Alcona County","Redford",48239,31,272,42.352236,-83.2831267,58864,54868,434.498529411765,892.964705882353,458.466176470588,0.117647058823529,0.113970588235294,0.371323529411765,54868,"Medium",16640.6754563895
"133","Michigan","Alcona County","Dearborn Heights",48127,135,451,42.3340109,-83.2825955,39650,30734,490.659955752212,975.438137472284,484.334146341463,0.345132743362832,0.299334811529933,0.465631929046563,30734,"Low",40774.6754563895
"134","Michigan","Alcona County","Inkster",48141,0,13,42.2715015,-83.3018809,51327,47998,375.4,779.2,403.8,0,0,0,47998,"Medium",23510.6754563895
"135","Michigan","Alcona County","Dearborn Heights",48125,49,192,42.2760445,-83.2411841,50732,41825,474.872916666667,960.0921875,485.2640625,0.265625,0.255208333333333,0.526041666666667,41825,"Medium",29683.6754563895
"136","Michigan","Alcona County","Dearborn Heights",48127,135,451,42.3227949,-83.2991471,81490,70957,490.659955752212,975.438137472284,484.334146341463,0.345132743362832,0.299334811529933,0.465631929046563,70957,"Medium",551.67545638945
"138","Michigan","Alcona County","Dearborn",48126,157,727,42.3387379,-83.1717259,35177,25647,468.227647867951,939.870976616231,471.643328748281,0.275103163686382,0.21595598349381,0.423658872077029,25647,"Low",45861.6754563895
"139","Michigan","Alcona County","Dearborn",48126,157,727,42.3256057,-83.1772078,34869,26252,468.227647867951,939.870976616231,471.643328748281,0.275103163686382,0.21595598349381,0.423658872077029,26252,"Low",45256.6754563895
"140","Michigan","Alcona County","Dearborn",48126,157,727,42.3238287,-83.205901,0,0,468.227647867951,939.870976616231,471.643328748281,0.275103163686382,0.21595598349381,0.423658872077029,0,"Low",71508.6754563895
"141","Michigan","Alcona County","Dearborn",48128,55,90,42.3196209,-83.2794175,76920,61655,556.666666666667,1102.65555555556,546.027777777778,0.666666666666667,0.611111111111111,0.8,61655,"Medium",9853.67545638945
"142","Michigan","Alcona County","New Haven",48048,13,41,42.7310382,-82.7768148,65697,54519,497.6,991.7,494.1,0.365853658536585,0.317073170731707,0.560975609756098,54519,"Medium",16989.6754563895
"143","Michigan","Alcona County","Dearborn",48124,257,734,42.3054504,-83.2576181,54926,37834,497.590599455041,1004.11416893733,506.485286103542,0.369209809264305,0.350136239782016,0.606267029972752,37834,"Medium",33674.6754563895
"144","Michigan","Alcona County","Dearborn",48124,257,734,42.2889151,-83.277959,60273,52654,497.590599455041,1004.11416893733,506.485286103542,0.369209809264305,0.350136239782016,0.606267029972752,52654,"Medium",18854.6754563895
