OBJECTID,GEOID10,MathNumAssessed,MathNumReady,AllSbjtNumReady,AllSbjtNumAssessed,EBRWNumAssessed,EBRWNumReady,FinalMathAveScore,FinalAllSbjtAveScore,FinalEWBRWAveScore,MathPctReady,AllSbjtPctReady,EBRWPctReady,Shape__Area,Shape__Length,ZCTA
123,2649893,,,,,,,,,,,,,2116067501.88184,348800.780960024,49893
124,2649847,,,,,,,,,,,,,1659324444.65234,221944.443101169,49847
125,2648157,,,,,,,,,,,,,26786567.1888428,38013.006288127,48157
126,2648884,,,,,,,,,,,,,1721909708.15674,300156.859533866,48884
127,2648619,,,,,,,,,,,,,2225712253.75781,302732.491174697,48619
128,2649457,,,,,,,,,,,,,2264346014.68262,394633.718717476,49457
129,2648335,,,,,,,,,,,,,210177688.010742,82026.10813739,48335
130,2648320,,,,,,,,,,,,,39043283.0546875,41567.7872641975,48320
131,2648165,,,,,,,,,,,,,265856411.638672,102348.411103733,48165
132,2648363,,,,,,,,,,,,,572131537.174316,113905.093024149,48363
133,2648083,,,,,,,,,,,,,240859896.924805,66265.5537855074,48083
134,2649912,,,,,,,,,,,,,6041676699.60156,558756.619800408,49912
135,2648064,,,,,,,,,,,,,1036279912.98584,128942.849947562,48064
136,2648422,,,,,,,,,,,,,2684583705.43457,309382.571946177,48422
137,2648450,,,,,,,,,,,,,685432589.765137,183861.96270543,48450
138,2648454,,,,,,,,,,,,,840538389.151855,174110.515396279,48454
139,2648426,,,,,,,,,,,,,1094843618.33301,166465.338699579,48426
140,2649840,,,,,,,,,,,,,5528715886.70703,516194.574018305,49840
141,2648213,,,,,,,,,,,,,182142527.602051,78917.9696212648,48213
142,2648230,,,,,,,,,,,,,122286760.471191,50549.3631914091,48230
143,2648745,,,,,,,,,,,,,2090823352.16309,379972.945481094,48745
144,2648705,,,,,,,,,,,,,2480087325.83301,324103.33252248,48705
145,2649884,,,,,,,,,,,,,8186996202.95313,686755.053567585,49884
146,2649690,,,,,,,,,,,,,2524493142.46973,358390.457407401,49690
147,2649648,,,,,,,,,,,,,1368927967.18555,241936.103364646,49648
148,2648765,,,,,,,,,,,,,1570405451.69141,263900.465090285,48765
149,2649970,,,,,,,,,,,,,2910167587.42773,350653.871952153,49970
150,2649861,,,,,,,,,,,,,5890434245.85938,677707.98482753,49861
151,2648631,,,,,,,,,,,,,957218907.722656,185438.454457228,48631
152,2649127,225,117,105,225,225,153,526.3,1054.4,528,0.52,0.466666666666667,0.68,515979938.429443,140992.338860206,49127
153,2649022,145,0,0,145,145,10,372.428275862069,764.97724137931,392.572413793103,0,0,0.0689655172413793,1996168451.60815,343473.330760249,49022
154,2649094,74,16,16,74,74,49,471.4,971.5,500.1,0.216216216216216,0.216216216216216,0.662162162162162,1635735811.65967,254838.580157438,49094
155,2649082,97,34,30,97,97,51,480.8,971.1,490.3,0.350515463917526,0.309278350515464,0.525773195876289,2446010632.77063,356480.050204937,49082
156,2649092,19,4,4,19,19,11,473.2,950.5,477.4,0.210526315789474,0.210526315789474,0.578947368421053,1577435765.43921,257559.31354176,49092
157,2649252,20,0,0,20,20,0,386,804.5,418.5,0,0,0,1093788166.96167,192346.425269242,49252
158,2649284,64,17,15,64,64,27,463.3,930.9,467.7,0.265625,0.234375,0.421875,1503136116.14404,293898.995047159,49284
159,2649112,201,119,113,201,201,145,547.7,1095,547.3,0.592039800995025,0.562189054726368,0.721393034825871,1265523683.59631,214605.817640797,49112
160,2649765,45,10,10,45,45,21,474.9,952.9,478,0.222222222222222,0.222222222222222,0.466666666666667,7322384574.62109,606294.268809191,49765
161,2649728,0,0,0,0,0,0,,,,,,,5758666573.87891,418290.217129954,49728
162,2649715,38,8,7,38,38,18,473.2,952.4,479.2,0.210526315789474,0.184210526315789,0.473684210526316,5984151138.46484,494922.69362331,49715
163,2648906,159,11,9,159,159,41,415.344025157233,856.747169811321,441.403144654088,0.0691823899371069,0.0566037735849057,0.257861635220126,935730658.837402,196071.167409633,48906
164,2649802,128,45,44,128,128,79,488.9,995.5,506.6,0.3515625,0.34375,0.6171875,236898140.335938,93102.5341128184,49802
