"Zip_Code","Median","FinalMathAveScore","FinalAllSbjtAveScore","FinalEWBRWAveScore"
48519,27836,415.797744360902,853.173684210526,437.403759398496
49629,0,555.7,1109.5,553.8
48880,39740,472.2,967.5,495.3
48801,26695,473.2,957.5,484.3
49220,41875,491.2,985,493.8
49250,39165,482.430434782609,976.134782608696,493.691304347826
49242,24139,504.114,1006.654,502.64
49271,46274,486.5,970.4,484
49945,49738,505.3,1022.6,517.4
49945,50071,505.3,1022.6,517.4
48423,68298,508.830662983425,1029.21022099448,520.37955801105
48445,40215,514.5,1026.1,511.6
48755,34701,484.9,976.8,491.8
48475,54623,530.5,1056.9,526.4
48441,35685,500,1003.6,503.6
48854,27461,530.162989323843,1049.54412811388,519.437010676157
48910,27936,416.001646090535,865.938271604938,449.936625514403
48910,37642,416.001646090535,865.938271604938,449.936625514403
48458,43993,422.843274853801,868.629824561404,445.786549707602
48910,40692,416.001646090535,865.938271604938,449.936625514403
48906,18930,415.344025157233,856.747169811321,441.403144654088
48911,3e+05,360.9,746.2,385.3
48910,53435,416.001646090535,865.938271604938,449.936625514403
48823,23321,541.6,1099.3,557.7
48823,3e+05,541.6,1099.3,557.7
48823,4790,541.6,1099.3,557.7
48823,78576,541.6,1099.3,557.7
48864,66563,517.842419825073,1051.71895043732,533.870991253644
48864,3e+05,517.842419825073,1051.71895043732,533.870991253644
48473,51853,388.3,804.8,416.6
48911,31872,360.9,746.2,385.3
48911,13573,360.9,746.2,385.3
48842,38764,480.5,985.4,504.8
48854,3e+05,530.162989323843,1049.54412811388,519.437010676157
48854,49745,530.162989323843,1049.54412811388,519.437010676157
49251,58251,485.3,987.9,502.6
48854,68980,530.162989323843,1049.54412811388,519.437010676157
48854,18063,530.162989323843,1049.54412811388,519.437010676157
48915,33247,397.4,827.2,429.8
48451,72634,496.263492063492,1014.25317460317,517.989682539683
48809,27812,472.226174496644,962.260402684564,490.021476510067
48849,57571,483.4,984,500.5
48875,72945,518.2,1035.3,517.2
48846,64252,491.118048780488,991.063902439024,499.945853658537
48763,41670,487.9,988.2,500.3
48763,28216,487.9,988.2,500.3
48739,31532,449.2,893.6,444.4
49935,24881,486.8,1010,523.2
48858,26388,522.200321543408,1034.85112540193,512.725723472669
48505,11990,369.521951219512,754.024390243902,384.50243902439
48858,51865,522.200321543408,1034.85112540193,512.725723472669
48858,29948,522.200321543408,1034.85112540193,512.725723472669
49202,31743,457.6,928.4,470.8
49203,9102,461.510638297872,935.996808510638,474.534042553191
49203,15068,461.510638297872,935.996808510638,474.534042553191
49203,38334,461.510638297872,935.996808510638,474.534042553191
49201,89277,467.087234042553,958.330441898527,491.243207855974
49203,18783,461.510638297872,935.996808510638,474.534042553191
49201,3e+05,467.087234042553,958.330441898527,491.243207855974
49201,3e+05,467.087234042553,958.330441898527,491.243207855974
49234,53069,373,785,412
49269,92586,501.3,1025.1,523.8
49201,41776,467.087234042553,958.330441898527,491.243207855974
49230,48652,497,993.6,496.5
49048,26735,468.2,950.8,482.6
49008,71692,377.435365853659,778.524390243902,401.089024390244
49006,27883,449.4,933.2,483.8
49686,71606,530.575543478261,1074.0902173913,543.514673913043
49008,62257,377.435365853659,778.524390243902,401.089024390244
49008,52443,377.435365853659,778.524390243902,401.089024390244
49002,14375,505.665653495441,1035.59392097264,529.928267477204
49024,3e+05,514.873295454545,1043.82897727273,528.944602272727
49024,87201,514.873295454545,1043.82897727273,528.944602272727
49048,42739,468.2,950.8,482.6
49004,3e+05,466.697222222222,943.130555555556,476.505555555556
49629,54376,555.7,1109.5,553.8
49686,59414,530.575543478261,1074.0902173913,543.514673913043
49024,3e+05,514.873295454545,1043.82897727273,528.944602272727
49002,41028,505.665653495441,1035.59392097264,529.928267477204
49048,53646,468.2,950.8,482.6
49053,48119,487.2,1005.9,518.7
49646,48342,477.5,964.7,487.3
49505,49858,546.771031746032,1105.20793650794,558.487301587302
49504,50310,439.862612612613,915.454054054054,475.601351351351
49505,34133,546.771031746032,1105.20793650794,558.487301587302
49503,3e+05,420.930434782609,855.513043478261,434.504347826087
48880,3e+05,472.2,967.5,495.3
49504,21330,439.862612612613,915.454054054054,475.601351351351
49504,71721,439.862612612613,915.454054054054,475.601351351351
49503,16783,420.930434782609,855.513043478261,434.504347826087
49506,64049,537.364356435644,1087.07227722772,549.707920792079
49504,45066,439.862612612613,915.454054054054,475.601351351351
49506,22468,537.364356435644,1087.07227722772,549.707920792079
49506,59312,537.364356435644,1087.07227722772,549.707920792079
49507,27493,376.139534883721,773.816279069767,397.676744186047
49506,59602,537.364356435644,1087.07227722772,549.707920792079
49508,3e+05,477.4,961.3,483.9
48838,52923,483.5,972.2,488.7
49345,38970,522.7,1045.1,522.4
49341,69092,527.413504823151,1063.23311897106,535.913826366559
48809,3e+05,472.226174496644,962.260402684564,490.021476510067
49341,62759,527.413504823151,1063.23311897106,535.913826366559
49525,73855,543.363039399625,1093.55178236398,550.142213883677
49544,61891,485.395283018868,986.88679245283,501.500471698113
49544,33593,485.395283018868,986.88679245283,501.500471698113
49534,70810,517.9,1041,523.1
49546,70111,583.5,1168.6,585
49331,67356,537.9,1074.7,536.7
49546,3e+05,583.5,1168.6,585
49506,151894,537.364356435644,1087.07227722772,549.707920792079
49546,3e+05,583.5,1168.6,585
49508,90705,477.4,961.3,483.9
49548,39251,452.550887573964,915.379487179487,462.828599605523
49418,62722,531,1061.7,530.7
49509,3e+05,438.098783454988,904.276341463415,465.928292682927
49548,45204,452.550887573964,915.379487179487,462.828599605523
49315,59389,564.395087719298,1117.17157894737,552.770877192983
49316,34763,548,1092.8,544.8
49316,3e+05,548,1092.8,544.8
49304,22208,450.7,918.7,468
48446,49143,480.667892156863,986.331862745098,505.570098039216
48446,54618,480.667892156863,986.331862745098,505.570098039216
48413,33995,497.249462365591,988.620430107527,491.389247311828
48444,53035,483.307514450867,969.978612716763,486.671098265896
48428,63051,508.5,1015.4,506.9
48463,74900,468.8,948.9,480.1
49664,69073,506,1025.8,519.8
49229,56007,465,946.8,481.8
49220,61758,491.2,985,493.8
49221,3e+05,481.285430463576,979.852317880795,498.566887417219
49221,25647,481.285430463576,979.852317880795,498.566887417219
49221,89800,481.285430463576,979.852317880795,498.566887417219
49221,3e+05,481.285430463576,979.852317880795,498.566887417219
49256,44728,464.8,939.8,475
49228,50484,505.5,1016.8,511.3
49236,53891,526.5,1041.3,514.7
48855,3e+05,416.381818181818,860.927272727273,444.545454545455
48836,63485,498.17903930131,999.749344978166,501.570305676856
48843,76327,505.7,1010.6,504.9
48843,89455,505.7,1010.6,504.9
48169,97482,499.796590909091,1022.99204545455,523.195454545455
48114,3e+05,424.4,877.6,453.2
48116,72482,530.376243980739,1078.78282504013,548.40658105939
48910,27686,416.001646090535,865.938271604938,449.936625514403
